,City,Country,Latitude,Longitude,Date,Temp (Day),Humidity,Cloudiness,Wind Speed
408,seoul,kr,37.57,126.98,1586919600,64.24,30,1,4.09
409,rawson,ar,-43.3,-65.1,1586966400,67.98,29,100,16.44
410,ban nahin,la,18.24,104.21,1586926800,95.43,37,29,4.88
411,bendigo,au,-36.77,144.28,1586916000,75.09,42,93,10.09
412,shubarkuduk,kz,49.14,56.49,1586937600,58.69,32,99,20.83
413,bulungu,cd,-4.55,18.6,1586944800,90.9,50,37,2.44
415,alekseyevsk,ru,57.84,108.35,1586923200,48.87,60,9,1.99
416,zacatepec,mx,18.65,-99.2,1586887200,81.84,21,0,3.06
417,paldiski,ee,59.36,24.05,1586944800,40.17,85,96,20.33
418,leshukonskoye,ru,64.9,45.76,1586937600,42.19,73,100,13.35
419,sao felix do xingu,br,-6.64,-51.99,1586962800,72.36,88,100,2.04
420,grand-lahou,ci,5.14,-5.02,1586952000,86.65,69,83,7.54
421,churapcha,ru,62.0,132.43,1586919600,33.4,91,100,11.59
